"landscape","numindiv","numsteps","move","numcamera","numgen","camerror","generror","camercM","camercL","camercU","camerrM","camerrL","camerrU","camuniM","camuniL","camuniU","genercM","genercL","genercU","generrM","generrL","generrU","genuniM","genuniL","genuni"
50,20,20,0.95,100,100,0.01,0.01,14.82,6,27.1499999999999,0.2,0,1,8.07,5,13,9.71,4.475,16,0.09,0,1,7.66,4,12
50,50,20,0.95,100,100,0.01,0.01,36.87,21,53.525,0.39,0,2,20.45,12.475,28,23.89,14,33.525,0.2,0,1,18.75,12.475,25.525
50,100,20,0.95,100,100,0.01,0.01,73.85,54.475,94.525,0.71,0,3,41.2,32.475,50.525,47.5,31.95,61.05,0.31,0,1,37.16,25.475,47
50,20,50,0.95,100,100,0.01,0.01,35.73,18.95,56.525,0.32,0,2,12.96,8,17,19.21,10.475,29,0.16,0,1,11.54,7,15.525
50,50,50,0.95,100,100,0.01,0.01,90.33,65.375,128.625,0.89,0,2.52499999999999,32.57,26,38,48.82,37.95,60.525,0.52,0,2,30.61,24.475,36.525
50,100,50,0.95,100,100,0.01,0.01,180.27,136.95,219.525,1.77,0,5,65.84,54.475,75,100.32,84,130.625,1.01,0,3,61.49,52,73
50,20,100,0.95,100,100,0.01,0.01,67.32,41.475,99.525,0.71,0,2,16.17,13,18.525,33.92,22.475,45.525,0.3,0,2,15.41,11.95,19
50,50,100,0.95,100,100,0.01,0.01,171.91,132.475,218.725,1.83,0,5,40.69,34.95,45.525,86.12,67,106.525,0.73,0,3,38.61,34,43
50,100,100,0.95,100,100,0.01,0.01,343.95,284.95,403.675,3.38,1,7.52499999999999,81.98,73.475,90,171.9,148.475,200.575,1.86,0,5.52499999999999,77.71,70,85
