"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
1,50,20,20,0.95,100,0.01,100,0.01,14,0,8,6,0,5
2,50,20,20,0.95,100,0.01,100,0.01,20,0,7,13,0,9
3,50,20,20,0.95,100,0.01,100,0.01,17,0,13,9,0,8
4,50,20,20,0.95,100,0.01,100,0.01,12,0,6,16,2,11
5,50,20,20,0.95,100,0.01,100,0.01,23,0,12,15,0,8
6,50,20,20,0.95,100,0.01,100,0.01,18,0,11,3,0,2
7,50,20,20,0.95,100,0.01,100,0.01,13,0,7,10,1,8
8,50,20,20,0.95,100,0.01,100,0.01,22,0,11,7,0,7
9,50,20,20,0.95,100,0.01,100,0.01,20,0,9,7,0,5
10,50,20,20,0.95,100,0.01,100,0.01,16,0,11,8,0,7
11,50,20,20,0.95,100,0.01,100,0.01,12,1,8,13,0,10
12,50,20,20,0.95,100,0.01,100,0.01,20,0,10,9,0,8
13,50,20,20,0.95,100,0.01,100,0.01,9,0,7,5,1,4
14,50,20,20,0.95,100,0.01,100,0.01,15,0,10,13,0,9
15,50,20,20,0.95,100,0.01,100,0.01,11,0,7,16,0,10
16,50,20,20,0.95,100,0.01,100,0.01,11,0,8,11,0,9
17,50,20,20,0.95,100,0.01,100,0.01,19,1,11,16,0,13
18,50,20,20,0.95,100,0.01,100,0.01,9,0,8,17,0,14
19,50,20,20,0.95,100,0.01,100,0.01,14,0,6,10,0,9
20,50,20,20,0.95,100,0.01,100,0.01,34,0,11,10,0,9
21,50,20,20,0.95,100,0.01,100,0.01,5,0,4,13,0,8
22,50,20,20,0.95,100,0.01,100,0.01,13,0,8,11,0,11
23,50,20,20,0.95,100,0.01,100,0.01,16,0,7,10,0,8
24,50,20,20,0.95,100,0.01,100,0.01,30,0,8,5,0,5
25,50,20,20,0.95,100,0.01,100,0.01,15,1,8,10,1,9
26,50,20,20,0.95,100,0.01,100,0.01,15,1,10,15,1,10
27,50,20,20,0.95,100,0.01,100,0.01,11,0,5,8,0,7
28,50,20,20,0.95,100,0.01,100,0.01,16,0,11,6,0,5
29,50,20,20,0.95,100,0.01,100,0.01,8,0,7,7,0,7
30,50,20,20,0.95,100,0.01,100,0.01,16,1,8,8,0,7
31,50,20,20,0.95,100,0.01,100,0.01,17,0,8,10,0,10
32,50,20,20,0.95,100,0.01,100,0.01,16,0,9,15,0,8
33,50,20,20,0.95,100,0.01,100,0.01,13,0,10,19,0,12
34,50,20,20,0.95,100,0.01,100,0.01,7,0,6,7,0,4
35,50,20,20,0.95,100,0.01,100,0.01,14,1,8,12,0,10
36,50,20,20,0.95,100,0.01,100,0.01,5,0,4,10,0,7
37,50,20,20,0.95,100,0.01,100,0.01,16,1,8,14,0,11
38,50,20,20,0.95,100,0.01,100,0.01,24,0,12,10,0,9
39,50,20,20,0.95,100,0.01,100,0.01,24,0,11,10,0,6
40,50,20,20,0.95,100,0.01,100,0.01,12,0,7,6,0,4
41,50,20,20,0.95,100,0.01,100,0.01,6,0,5,6,0,5
42,50,20,20,0.95,100,0.01,100,0.01,12,0,7,6,0,6
43,50,20,20,0.95,100,0.01,100,0.01,14,1,6,11,0,9
44,50,20,20,0.95,100,0.01,100,0.01,10,1,7,6,0,5
45,50,20,20,0.95,100,0.01,100,0.01,14,0,9,13,0,10
46,50,20,20,0.95,100,0.01,100,0.01,12,0,5,10,0,9
47,50,20,20,0.95,100,0.01,100,0.01,16,0,9,13,0,12
48,50,20,20,0.95,100,0.01,100,0.01,13,0,6,8,0,6
49,50,20,20,0.95,100,0.01,100,0.01,17,0,7,8,0,7
50,50,20,20,0.95,100,0.01,100,0.01,16,0,7,6,1,4
51,50,20,20,0.95,100,0.01,100,0.01,16,0,9,6,0,6
52,50,20,20,0.95,100,0.01,100,0.01,14,0,8,14,0,11
53,50,20,20,0.95,100,0.01,100,0.01,10,0,7,6,1,5
54,50,20,20,0.95,100,0.01,100,0.01,19,0,10,12,0,11
55,50,20,20,0.95,100,0.01,100,0.01,9,0,5,8,0,7
56,50,20,20,0.95,100,0.01,100,0.01,13,0,6,10,0,5
57,50,20,20,0.95,100,0.01,100,0.01,17,1,8,9,1,7
58,50,20,20,0.95,100,0.01,100,0.01,18,0,7,6,0,5
59,50,20,20,0.95,100,0.01,100,0.01,15,0,9,11,0,10
60,50,20,20,0.95,100,0.01,100,0.01,19,0,8,10,0,9
61,50,20,20,0.95,100,0.01,100,0.01,10,1,7,3,0,3
62,50,20,20,0.95,100,0.01,100,0.01,15,0,9,11,0,8
63,50,20,20,0.95,100,0.01,100,0.01,16,1,10,8,0,6
64,50,20,20,0.95,100,0.01,100,0.01,16,0,9,8,0,6
65,50,20,20,0.95,100,0.01,100,0.01,13,0,8,13,0,12
66,50,20,20,0.95,100,0.01,100,0.01,17,0,10,12,0,10
67,50,20,20,0.95,100,0.01,100,0.01,6,0,5,10,0,7
68,50,20,20,0.95,100,0.01,100,0.01,21,0,13,10,0,8
69,50,20,20,0.95,100,0.01,100,0.01,13,0,7,8,0,8
70,50,20,20,0.95,100,0.01,100,0.01,11,0,9,7,0,5
71,50,20,20,0.95,100,0.01,100,0.01,18,0,10,8,0,7
72,50,20,20,0.95,100,0.01,100,0.01,17,0,7,11,0,7
73,50,20,20,0.95,100,0.01,100,0.01,13,0,5,7,0,5
74,50,20,20,0.95,100,0.01,100,0.01,17,1,9,5,0,5
75,50,20,20,0.95,100,0.01,100,0.01,12,0,8,12,0,8
76,50,20,20,0.95,100,0.01,100,0.01,9,0,6,7,0,6
77,50,20,20,0.95,100,0.01,100,0.01,6,0,5,14,0,9
78,50,20,20,0.95,100,0.01,100,0.01,19,0,10,11,0,8
79,50,20,20,0.95,100,0.01,100,0.01,23,0,13,10,0,8
80,50,20,20,0.95,100,0.01,100,0.01,12,0,7,11,0,9
81,50,20,20,0.95,100,0.01,100,0.01,14,1,6,9,0,8
82,50,20,20,0.95,100,0.01,100,0.01,11,0,6,9,0,8
83,50,20,20,0.95,100,0.01,100,0.01,12,0,7,14,0,7
84,50,20,20,0.95,100,0.01,100,0.01,15,0,7,10,0,9
85,50,20,20,0.95,100,0.01,100,0.01,17,0,10,5,0,5
86,50,20,20,0.95,100,0.01,100,0.01,11,1,6,6,0,5
87,50,20,20,0.95,100,0.01,100,0.01,12,0,8,12,0,9
88,50,20,20,0.95,100,0.01,100,0.01,14,1,8,16,0,12
89,50,20,20,0.95,100,0.01,100,0.01,16,0,9,7,0,7
90,50,20,20,0.95,100,0.01,100,0.01,15,0,8,6,0,4
91,50,20,20,0.95,100,0.01,100,0.01,20,0,8,15,0,11
92,50,20,20,0.95,100,0.01,100,0.01,33,0,14,10,0,8
93,50,20,20,0.95,100,0.01,100,0.01,20,0,9,13,0,10
94,50,20,20,0.95,100,0.01,100,0.01,13,1,7,7,0,5
95,50,20,20,0.95,100,0.01,100,0.01,11,1,6,7,0,7
96,50,20,20,0.95,100,0.01,100,0.01,8,0,5,9,0,9
97,50,20,20,0.95,100,0.01,100,0.01,17,2,9,6,0,5
98,50,20,20,0.95,100,0.01,100,0.01,13,0,7,12,0,8
99,50,20,20,0.95,100,0.01,100,0.01,17,0,9,9,0,8
100,50,20,20,0.95,100,0.01,100,0.01,7,0,6,4,0,4
1,50,50,20,0.95,100,0.01,100,0.01,47,0,25,13,0,13
2,50,50,20,0.95,100,0.01,100,0.01,33,0,20,23,1,20
3,50,50,20,0.95,100,0.01,100,0.01,45,1,19,22,0,18
4,50,50,20,0.95,100,0.01,100,0.01,59,1,28,25,0,20
5,50,50,20,0.95,100,0.01,100,0.01,30,1,19,27,1,22
6,50,50,20,0.95,100,0.01,100,0.01,47,0,28,31,0,24
7,50,50,20,0.95,100,0.01,100,0.01,46,0,22,32,0,25
8,50,50,20,0.95,100,0.01,100,0.01,35,1,21,20,0,16
9,50,50,20,0.95,100,0.01,100,0.01,49,0,24,19,1,15
10,50,50,20,0.95,100,0.01,100,0.01,43,0,25,32,1,22
11,50,50,20,0.95,100,0.01,100,0.01,32,0,20,22,1,16
12,50,50,20,0.95,100,0.01,100,0.01,43,0,23,24,0,17
13,50,50,20,0.95,100,0.01,100,0.01,54,2,22,24,0,15
14,50,50,20,0.95,100,0.01,100,0.01,54,1,23,19,0,15
15,50,50,20,0.95,100,0.01,100,0.01,35,1,20,28,0,25
16,50,50,20,0.95,100,0.01,100,0.01,39,0,18,27,0,22
17,50,50,20,0.95,100,0.01,100,0.01,35,0,23,34,0,24
18,50,50,20,0.95,100,0.01,100,0.01,30,1,20,20,0,15
19,50,50,20,0.95,100,0.01,100,0.01,38,2,20,22,1,18
20,50,50,20,0.95,100,0.01,100,0.01,50,0,22,15,0,14
21,50,50,20,0.95,100,0.01,100,0.01,37,0,17,28,1,20
22,50,50,20,0.95,100,0.01,100,0.01,53,1,27,17,0,14
23,50,50,20,0.95,100,0.01,100,0.01,41,0,22,18,0,17
24,50,50,20,0.95,100,0.01,100,0.01,27,2,16,30,1,20
25,50,50,20,0.95,100,0.01,100,0.01,43,1,23,19,0,14
26,50,50,20,0.95,100,0.01,100,0.01,35,0,18,18,1,13
27,50,50,20,0.95,100,0.01,100,0.01,28,0,13,21,0,17
28,50,50,20,0.95,100,0.01,100,0.01,44,1,21,27,0,22
29,50,50,20,0.95,100,0.01,100,0.01,34,0,25,22,0,18
30,50,50,20,0.95,100,0.01,100,0.01,37,0,19,27,0,23
31,50,50,20,0.95,100,0.01,100,0.01,21,0,11,26,0,20
32,50,50,20,0.95,100,0.01,100,0.01,38,0,22,21,0,17
33,50,50,20,0.95,100,0.01,100,0.01,30,0,20,23,0,18
34,50,50,20,0.95,100,0.01,100,0.01,24,0,18,22,0,20
35,50,50,20,0.95,100,0.01,100,0.01,38,0,20,20,0,17
36,50,50,20,0.95,100,0.01,100,0.01,36,0,22,33,0,26
37,50,50,20,0.95,100,0.01,100,0.01,43,1,23,23,0,18
38,50,50,20,0.95,100,0.01,100,0.01,31,0,17,25,0,21
39,50,50,20,0.95,100,0.01,100,0.01,34,0,20,23,0,18
40,50,50,20,0.95,100,0.01,100,0.01,47,0,27,28,0,20
41,50,50,20,0.95,100,0.01,100,0.01,34,0,21,28,1,18
42,50,50,20,0.95,100,0.01,100,0.01,43,1,21,23,0,19
43,50,50,20,0.95,100,0.01,100,0.01,45,1,18,19,0,16
44,50,50,20,0.95,100,0.01,100,0.01,47,0,23,30,1,23
45,50,50,20,0.95,100,0.01,100,0.01,38,1,23,25,0,21
46,50,50,20,0.95,100,0.01,100,0.01,34,0,18,23,0,17
47,50,50,20,0.95,100,0.01,100,0.01,30,0,17,31,0,26
48,50,50,20,0.95,100,0.01,100,0.01,33,0,17,30,0,19
49,50,50,20,0.95,100,0.01,100,0.01,45,0,24,19,0,16
50,50,50,20,0.95,100,0.01,100,0.01,37,0,18,20,0,18
51,50,50,20,0.95,100,0.01,100,0.01,33,1,22,26,1,21
52,50,50,20,0.95,100,0.01,100,0.01,52,0,25,21,0,17
53,50,50,20,0.95,100,0.01,100,0.01,38,0,21,18,1,14
54,50,50,20,0.95,100,0.01,100,0.01,44,2,22,27,0,21
55,50,50,20,0.95,100,0.01,100,0.01,23,1,14,17,0,13
56,50,50,20,0.95,100,0.01,100,0.01,21,0,14,32,0,25
57,50,50,20,0.95,100,0.01,100,0.01,46,0,24,37,1,21
58,50,50,20,0.95,100,0.01,100,0.01,44,0,25,21,0,16
59,50,50,20,0.95,100,0.01,100,0.01,31,1,22,18,0,16
60,50,50,20,0.95,100,0.01,100,0.01,42,2,20,24,0,20
